VariableMeaning,VariableName,VariableClass
NZL_Landsat_Bandrvi,ls97,0
NZL_Landsat_Bandrvi_CV,ls98,0
NZL_Landsat_Bandrvi_Kurtosis,ls99,0
NZL_Landsat_Bandrvi_Skewness,ls100,0
NZL_Landsat_Bandrvi_STD,ls101,0
NZL_Landsat_Bandsavi,ls102,0
NZL_Landsat_Bandsavi_CV,ls103,0
NZL_Landsat_Bandsavi_Kurtosis,ls104,0
NZL_Landsat_Bandsavi_Skewness,ls105,0
NZL_Landsat_Bandsavi_STD,ls106,0
NZL_Landsat_Bandsi03,ls107,0
NZL_Landsat_Bandsi03_CV,ls108,0
NZL_Landsat_Bandsi03_Kurtosis,ls109,0
NZL_Landsat_Bandsi03_Skewness,ls110,0
NZL_Landsat_Bandsi03_STD,ls111,0
NZL_Landsat_Bandvi01,ls112,0
NZL_Landsat_Bandvi01_CV,ls113,0
NZL_Landsat_Bandvi01_Kurtosis,ls114,0
NZL_Landsat_Bandvi01_Skewness,ls115,0
NZL_Landsat_Bandvi01_STD,ls116,0
NZL_Landsat_Bandvi02,ls117,0
NZL_Landsat_Bandvi02_CV,ls118,0
NZL_Landsat_Bandvi02_Kurtosis,ls119,0
NZL_Landsat_Bandvi02_Skewness,ls120,0
NZL_Landsat_Bandvi02_STD,ls121,0
NZL_Landsat_Bandvi03,ls122,0
NZL_Landsat_Bandvi03_CV,ls123,0
NZL_Landsat_Bandvi03_Kurtosis,ls124,0
NZL_Landsat_Bandvi03_Skewness,ls125,0
NZL_Landsat_Bandvi03_STD,ls126,0
Texture_dvi_M1,ls127,0
Texture_dvi_M10,ls128,0
Texture_dvi_M11,ls129,0
Texture_dvi_M12,ls130,0
Texture_dvi_M13,ls131,0
Texture_dvi_M2,ls132,0
Texture_dvi_M3,ls133,0
Texture_dvi_M4,ls134,0
Texture_dvi_M5,ls135,0
Texture_dvi_M6,ls136,0
Texture_dvi_M7,ls137,0
Texture_dvi_M8,ls138,0
Texture_dvi_M9,ls139,0
Texture_evi_M1,ls140,0
Texture_evi_M10,ls141,0
Texture_evi_M11,ls142,0
Texture_evi_M12,ls143,0
Texture_evi_M13,ls144,0
Texture_evi_M2,ls145,0
Texture_evi_M3,ls146,0
Texture_evi_M4,ls147,0
Texture_evi_M5,ls148,0
Texture_evi_M6,ls149,0
Texture_evi_M7,ls150,0
Texture_evi_M8,ls151,0
Texture_evi_M9,ls152,0
Texture_ndsi_M1,ls153,0
Texture_ndsi_M10,ls154,0
Texture_ndsi_M11,ls155,0
Texture_ndsi_M12,ls156,0
Texture_ndsi_M13,ls157,0
Texture_ndsi_M2,ls158,0
Texture_ndsi_M3,ls159,0
Texture_ndsi_M4,ls160,0
Texture_ndsi_M5,ls161,0
Texture_ndsi_M6,ls162,0
Texture_ndsi_M7,ls163,0
Texture_ndsi_M8,ls164,0
Texture_ndsi_M9,ls165,0
Texture_ndvi_M1,ls166,0
Texture_ndvi_M10,ls167,0
Texture_ndvi_M11,ls168,0
Texture_ndvi_M12,ls169,0
Texture_ndvi_M13,ls170,0
Texture_ndvi_M2,ls171,0
Texture_ndvi_M3,ls172,0
Texture_ndvi_M4,ls173,0
Texture_ndvi_M5,ls174,0
Texture_ndvi_M6,ls175,0
Texture_ndvi_M7,ls176,0
Texture_ndvi_M8,ls177,0
Texture_ndvi_M9,ls178,0
Texture_rvi_M1,ls179,0
Texture_rvi_M10,ls180,0
Texture_rvi_M11,ls181,0
Texture_rvi_M12,ls182,0
Texture_rvi_M13,ls183,0
Texture_rvi_M2,ls184,0
Texture_rvi_M3,ls185,0
Texture_rvi_M4,ls186,0
Texture_rvi_M5,ls187,0
Texture_rvi_M6,ls188,0
Texture_rvi_M7,ls189,0
Texture_rvi_M8,ls190,0
Texture_rvi_M9,ls191,0
Texture_savi_M1,ls192,0
Texture_savi_M10,ls193,0
Texture_savi_M11,ls194,0
Texture_savi_M12,ls195,0
Texture_savi_M13,ls196,0
Texture_savi_M2,ls197,0
Texture_savi_M3,ls198,0
Texture_savi_M4,ls199,0
Texture_savi_M5,ls200,0
Texture_savi_M6,ls201,0
Texture_savi_M7,ls202,0
Texture_savi_M8,ls203,0
Texture_savi_M9,ls204,0
Texture_si03_M1,ls205,0
Texture_si03_M10,ls206,0
Texture_si03_M11,ls207,0
Texture_si03_M12,ls208,0
Texture_si03_M13,ls209,0
Texture_si03_M2,ls210,0
Texture_si03_M3,ls211,0
Texture_si03_M4,ls212,0
